STD,Type
-32.64,SmartEsimate
-31.14,SmartEsimate
-30.25,SmartEsimate
-29.42,SmartEsimate
-27.40,SmartEsimate
-26.23,SmartEsimate
-25.40,SmartEsimate
-23.62,SmartEsimate
-21.56,SmartEsimate
-21.05,SmartEsimate
-20.22,SmartEsimate
-18.65,SmartEsimate
-18.08,SmartEsimate
-17.94,SmartEsimate
-16.93,SmartEsimate
-16.67,SmartEsimate
-16.41,SmartEsimate
-15.60,SmartEsimate
-15.38,SmartEsimate
-14.69,SmartEsimate
-14.55,SmartEsimate
-14.45,SmartEsimate
-14.22,SmartEsimate
-14.10,SmartEsimate
-13.27,SmartEsimate
-12.85,SmartEsimate
-12.48,SmartEsimate
-12.28,SmartEsimate
-12.03,SmartEsimate
-12.01,SmartEsimate
-11.81,SmartEsimate
-11.35,SmartEsimate
-11.03,SmartEsimate
-11.02,SmartEsimate
-10.81,SmartEsimate
-10.45,SmartEsimate
-9.84,SmartEsimate
-9.50,SmartEsimate
-8.61,SmartEsimate
-8.17,SmartEsimate
-8.12,SmartEsimate
-7.93,SmartEsimate
-7.55,SmartEsimate
-7.30,SmartEsimate
-6.93,SmartEsimate
-6.44,SmartEsimate
-6.18,SmartEsimate
-6.16,SmartEsimate
-6.12,SmartEsimate
-6.09,SmartEsimate
-5.84,SmartEsimate
-5.74,SmartEsimate
-5.54,SmartEsimate
-4.95,SmartEsimate
-4.44,SmartEsimate
-4.33,SmartEsimate
-4.02,SmartEsimate
-3.91,SmartEsimate
-3.64,SmartEsimate
-3.63,SmartEsimate
-3.39,SmartEsimate
-3.08,SmartEsimate
-2.66,SmartEsimate
-2.64,SmartEsimate
-1.85,SmartEsimate
-1.72,SmartEsimate
-1.49,SmartEsimate
-1.45,SmartEsimate
-1.28,SmartEsimate
-1.27,SmartEsimate
-1.23,SmartEsimate
-0.75,SmartEsimate
-0.67,SmartEsimate
-0.47,SmartEsimate
-0.33,SmartEsimate
-0.28,SmartEsimate
-0.25,SmartEsimate
-0.05,SmartEsimate
0.53,SmartEsimate
0.57,SmartEsimate
0.61,SmartEsimate
0.89,SmartEsimate
1.42,SmartEsimate
1.48,SmartEsimate
1.60,SmartEsimate
1.67,SmartEsimate
2.32,SmartEsimate
2.49,SmartEsimate
2.63,SmartEsimate
2.65,SmartEsimate
2.73,SmartEsimate
2.87,SmartEsimate
2.97,SmartEsimate
3.16,SmartEsimate
3.34,SmartEsimate
3.88,SmartEsimate
4.28,SmartEsimate
4.40,SmartEsimate
4.44,SmartEsimate
5.38,SmartEsimate
6.12,SmartEsimate
6.18,SmartEsimate
6.31,SmartEsimate
7.53,SmartEsimate
7.53,SmartEsimate
7.55,SmartEsimate
7.59,SmartEsimate
7.62,SmartEsimate
7.79,SmartEsimate
8.53,SmartEsimate
8.80,SmartEsimate
8.81,SmartEsimate
9.00,SmartEsimate
9.95,SmartEsimate
10.35,SmartEsimate
10.51,SmartEsimate
10.57,SmartEsimate
11.28,SmartEsimate
11.39,SmartEsimate
11.42,SmartEsimate
13.98,SmartEsimate
14.67,SmartEsimate
14.67,SmartEsimate
15.86,SmartEsimate
15.90,SmartEsimate
15.93,SmartEsimate
16.29,SmartEsimate
17.76,SmartEsimate
19.90,SmartEsimate
20.09,SmartEsimate
21.65,SmartEsimate
22.04,SmartEsimate
25.11,SmartEsimate
27.13,SmartEsimate
27.88,SmartEsimate
28.93,SmartEsimate
32.14,SmartEsimate
33.47,SmartEsimate
35.75,SmartEsimate
37.61,SmartEsimate
37.86,SmartEsimate
44.73,SmartEsimate
50.78,SmartEsimate
52.98,SmartEsimate
67.36,SmartEsimate
84.65,SmartEsimate
137.14,SmartEsimate
182.17,SmartEsimate
186.78,SmartEsimate
-99.90,SmartEsimate
-79.33,SmartEsimate
-79.27,SmartEsimate
-68.88,SmartEsimate
-66.50,SmartEsimate
-64.72,SmartEsimate
-63.46,SmartEsimate
-61.71,SmartEsimate
-55.97,SmartEsimate
-53.78,SmartEsimate
-51.50,SmartEsimate
-50.85,SmartEsimate
-48.15,SmartEsimate
-45.69,SmartEsimate
-43.89,SmartEsimate
-42.68,SmartEsimate
-40.16,SmartEsimate
-38.30,SmartEsimate
-36.21,SmartEsimate
-35.20,SmartEsimate
-31.22,SmartEsimate
-30.67,SmartEsimate
-29.79,SmartEsimate
-29.12,SmartEsimate
-26.29,SmartEsimate
-25.62,SmartEsimate
-22.71,SmartEsimate
-21.70,SmartEsimate
-21.12,SmartEsimate
-20.59,SmartEsimate
-20.09,SmartEsimate
-19.52,SmartEsimate
-19.26,SmartEsimate
-17.78,SmartEsimate
-16.44,SmartEsimate
-16.42,SmartEsimate
-16.10,SmartEsimate
-15.07,SmartEsimate
-13.86,SmartEsimate
-13.60,SmartEsimate
-13.27,SmartEsimate
-12.53,SmartEsimate
-12.47,SmartEsimate
-12.20,SmartEsimate
-12.15,SmartEsimate
-11.77,SmartEsimate
-11.21,SmartEsimate
-11.00,SmartEsimate
-10.94,SmartEsimate
-10.38,SmartEsimate
-9.79,SmartEsimate
-9.39,SmartEsimate
-9.08,SmartEsimate
-8.67,SmartEsimate
-8.66,SmartEsimate
-8.52,SmartEsimate
-8.39,SmartEsimate
-8.28,SmartEsimate
-7.70,SmartEsimate
