OP Growth,Return,Year
3.99,-1.18,2013
-14.13,-1.2,2019
-100.87,-1.27,2014
2.79,-1.3,2013
111.27,-1.56,2019
-18.19,-1.57,2005
-18.22,-1.7,2006
-18.2,-1.71,2013
16.3,-1.73,2019
12.27,-1.86,2006
4.8,-1.87,2006
-20.42,-1.89,2013
151.58,-1.96,2011
23.92,-2.06,2008
5.34,-2.09,2006
-31.62,-2.09,2011
31.73,-2.14,2014
38.78,-2.17,2006
38.95,-2.22,2011
12.72,-2.23,2008
9.01,-2.28,2006
-15.38,-2.28,2003
-24.88,-2.31,2019
-17.33,-2.34,2006
66.05,-2.41,2011
-169.53,-2.49,2011
3.57,-2.6,2006
-20.12,-2.61,2013
10.01,-2.63,2011
-29.27,-2.67,2019
12.67,-2.68,2019
4.25,-2.68,2011
85.9,-2.76,2013
-7.89,-2.85,2006
-28.61,-2.86,2003
16.21,-2.97,2006
22.23,-3.05,2003
55.82,-3.08,2006
-9.93,-3.08,2005
8.82,-3.12,2012
191.9,-3.13,2006
-328.66,-3.28,2019
57.34,-3.45,2013
-11.38,-3.48,2012
-46.26,-3.49,2006
-8.16,-3.56,2014
-6.07,-3.57,2013
17.64,-3.85,2011
-10.53,-3.91,2019
104.65,-4.01,2013
-49.69,-4.03,2012
88.45,-4.04,2013
98.81,-4.07,2019
-3.95,-4.07,2019
-32.74,-4.17,2005
10.46,-4.2,2013
-24.23,-4.23,2011
-23.33,-4.24,2012
703.58,-4.25,2014
6.07,-4.26,2008
2.19,-4.38,2014
2460.15,-4.45,2006
37.69,-4.76,2003
15.41,-4.82,2011
9.48,-5.06,2006
-0.16,-5.14,2012
8.87,-5.24,2012
11.76,-5.26,2011
-53.63,-5.27,2003
42.78,-5.29,2014
10.19,-5.33,2011
-17.78,-5.43,2013
29.53,-5.45,2012
-56.93,-5.49,2003
31.24,-5.5,2013
-17.77,-5.5,2019
-22.48,-5.54,2006
-53.17,-5.66,2006
13.51,-5.68,2014
25.58,-5.73,2012
-35.66,-5.75,2014
21.9,-5.85,2011
639.05,-5.97,2003
-24.68,-6.2,2014
27.3,-6.22,2011
17.1,-6.25,2019
29.92,-6.33,2011
-0.19,-6.41,2003
-18.37,-6.45,2013
-13.37,-6.5,2006
-6.48,-6.57,2008
1223.03,-6.64,2008
23.67,-6.68,2011
-25.65,-6.68,2003
146.67,-6.73,2011
-9.41,-6.75,2006
-12.19,-6.77,2014
370.68,-6.81,2003
274.29,-6.82,2012
3.74,-6.83,2011
-17.63,-6.86,2012
-110.43,-6.92,2011
-11.33,-6.93,2003
-12.98,-6.98,2006
9.02,-7.03,2006
-22.26,-7.03,2005
5.2,-7.05,2011
-61.67,-7.11,2019
-15.81,-7.14,2011
-3.2,-7.25,2003
-13.59,-7.26,2011
-41.22,-7.33,2014
-3.4,-7.34,2013
-39.94,-7.37,2014
-5.89,-7.39,2019
59.31,-7.46,2005
19.86,-7.54,2013
-16.46,-7.55,2013
15.92,-7.59,2019
8.11,-7.64,2011
-22.6,-7.72,2019
-11.82,-7.8,2013
809.5,-7.83,2011
21.9,-7.84,2014
-3.51,-7.85,2008
0.24,-7.89,2008
867.98,-8.03,2019
-40.36,-8.05,2014
70,-8.1,2008
12.03,-8.12,2005
-36.8,-8.16,2012
-47.26,-8.24,2011
-33.39,-8.25,2012
11.88,-8.27,2012
81.19,-8.31,2006
-29.59,-8.35,2005
41.32,-8.41,2006
-22.79,-8.44,2005
14.39,-8.68,2008
29.55,-8.69,2013
-124.28,-8.7,2019
54.95,-8.71,2014
13.33,-8.77,2008
-8.01,-8.85,2012
-12.09,-8.87,2006
-0.34,-9.02,2012
-30.28,-9.06,2008
-0.66,-9.13,2014
-38.74,-9.13,2019
5.24,-9.18,2011
-113.34,-9.18,2006
-66.27,-9.19,2011
2364.07,-9.21,2003
-103.34,-9.31,2003
-15.76,-9.33,2005
11.86,-9.35,2006
15.24,-9.36,2014
