Class,Return,Leverage
Equity,55.4 ,
Equity,55.4 ,
Equity,55.4 ,
Equity,55.3 ,
Equity,55.3 ,
Equity,55.2 ,
Equity,55.2 ,
Equity,55.2 ,
Equity,55.2 ,
Equity,55.1 ,
Equity,55.0 ,
Commodities,54.9 ,
Equity,54.9 ,
Equity,54.9 ,
Equity,54.8 ,
Equity,54.8 ,
Equity,54.7 ,
Equity,54.7 ,
Equity,54.6 ,
Equity,54.6 ,
Equity,54.6 ,
Equity,54.6 ,
Equity,54.5 ,
Equity,54.5 ,
Equity,54.5 ,
Equity,54.4 ,
Equity,54.4 ,
Equity,54.4 ,
Equity,54.3 ,
Commodities,54.2 ,
Equity,54.2 ,
Equity,54.2 ,
Equity,54.2 ,
Equity,54.2 ,
Commodities,54.1 ,
Equity,54.1 ,
Commodities,54.0 ,
Equity,54.0 ,Short
Equity,54.0 ,
Equity,54.0 ,
Equity,54.0 ,
Equity,53.9 ,
Equity,53.9 ,
Equity,53.9 ,
Equity,53.8 ,
Equity,53.8 ,
Equity,53.8 ,
Fixed Income,53.8 ,Short
Equity,53.7 ,
Equity,53.7 ,
Equity,53.7 ,
Equity,53.7 ,
Equity,53.6 ,
Equity,53.6 ,
Equity,53.5 ,
Equity,53.5 ,
Equity,53.5 ,
Commodities,53.4 ,
Equity,53.4 ,
Equity,53.4 ,
Equity,53.4 ,
Equity,53.4 ,
Equity,53.3 ,Short
Equity,53.2 ,
Equity,53.2 ,
Equity,53.1 ,
Equity,53.1 ,
Equity,53.1 ,
Equity,53.1 ,
Equity,53.0 ,
Equity,53.0 ,
Commodities,52.9 ,Long
Equity,52.9 ,
Equity,52.9 ,
Fixed Income,52.9 ,Short
Equity,52.8 ,
Equity,52.8 ,
Equity,52.8 ,
Equity,52.7 ,
Equity,52.7 ,
Equity,52.7 ,
Equity,52.6 ,
Equity,52.6 ,
Equity,52.6 ,
Commodities,52.5 ,
Equity,52.5 ,
Equity,52.5 ,
Equity,52.4 ,
Equity,52.4 ,
Equity,52.4 ,
Equity,52.3 ,
Equity,52.3 ,
Equity,52.3 ,
Equity,52.3 ,
Commodities,52.2 ,
Equity,52.2 ,Long
Equity,52.2 ,
Equity,52.2 ,
Equity,52.2 ,
Equity,52.1 ,
Equity,52.1 ,
Equity,52.0 ,
Equity,51.9 ,
Equity,51.8 ,
Equity,51.8 ,
Equity,51.8 ,
Equity,51.7 ,
