Date,MKF500,Value,Growth,KOSPI200
2011-08-05,342.35,1423.30,245.89,344.36
2011-08-12,315.02,1305.52,233.02,314.94
2011-08-19,305.55,1311.47,228.81,304.83
2011-08-26,312.51,1302.01,227.79,313.06
2011-09-02,328.11,1367.90,241.27,328.31
2011-09-09,318.39,1322.56,231.14,319.07
2011-09-16,323.25,1321.91,233.80,324.68
2011-09-23,298.88,1210.47,218.82,298.87
2011-09-30,313.54,1224.01,224.98,314.98
2011-10-07,311.94,1224.26,219.20,314.79
2011-10-14,325.79,1274.81,232.48,327.64
2011-10-21,326.29,1261.57,235.36,328.12
2011-10-28,341.79,1323.43,243.62,345.14
2011-11-04,342.30,1298.36,243.00,344.96
2011-11-11,330.25,1267.35,233.24,332.18
2011-11-18,325.66,1267.27,230.82,327.31
2011-11-25,314.51,1245.52,222.69,315.83
2011-12-02,339.73,1307.90,238.17,343.39
2011-12-09,331.94,1294.17,234.16,334.83
2011-12-16,325.62,1268.08,229.82,327.85
2011-12-23,330.46,1272.96,232.10,333.86
2011-12-30,323.40,1241.07,227.60,325.47
2012-01-06,326.76,1249.91,230.65,328.87
2012-01-13,332.38,1285.52,234.81,335.31
2012-01-20,345.60,1340.44,243.25,350.80
2012-01-27,348.16,1359.57,244.25,353.59
2012-02-03,348.82,1407.12,249.05,353.42
2012-02-10,352.01,1438.89,254.47,357.03
2012-02-17,358.26,1430.82,254.06,363.39
2012-02-24,357.34,1425.38,251.63,362.54
2012-03-02,359.91,1444.40,254.54,365.62
2012-03-09,357.56,1410.17,252.11,363.12
2012-03-16,360.83,1419.93,251.45,366.74
2012-03-23,359.82,1398.28,248.19,366.30
2012-03-30,357.89,1365.84,245.08,364.43
2012-04-06,361.30,1336.21,242.82,369.06
2012-04-13,357.78,1341.80,242.92,364.81
2012-04-20,351.35,1303.77,237.09,357.95
2012-04-27,351.92,1269.22,232.10,360.12
2012-05-04,354.26,1298.76,237.96,361.45
2012-05-11,341.96,1247.33,229.11,347.23
2012-05-18,317.34,1150.66,214.41,322.42
